claimId,contentId,exactClaim,claimType,sourceId,sourceTitle,publisher,url,publishedDate,accessedAt,sourceVersion,applicableContext,evidenceLocation,supportStatus,verificationMethod,checkedBy,checkedAt,contentVersion,notes
cat-grooming-basics-guide-claim-1,blog-166,daily combing and hairball prevention; no 50 percent reduction located,health,cat-grooming-basics-guide-source-1,The Danger of Hairballs,Cornell University College of Veterinary Medicine,https://www.vet.cornell.edu/departments-centers-and-institutes/cornell-feline-health-center/health-information/feline-health-topics/danger-hairballs,,2026-09-12,current-at-access,daily combing and hairball prevention; no 50 percent reduction located,daily-combing recommendation,PARTIAL,official_page_read,codex-editorial-audit,2026-09-12,sha256:c6bb5ee31dae6c7844d6832d3074266f0a0a9ed3d51a730758bb213bb8f5699c,General brushing guidance supported; exact 50 percent reduction removed
dog-disc-disease-claim-2,seed-condition-dog-disc-disease,CT can investigate IVDD; no universal most-accurate ranking,health,dog-disc-disease-source-2,WSAVA Singapore 2018 Abstracts,WSAVA,https://wsava.org/wp-content/uploads/2021/12/WSAVA_Singapore_2018_Abstracts.pdf,2018,2026-09-12,2018,CT can investigate IVDD; no universal most-accurate ranking,CT and IVDD discussion,PARTIAL,official_pdf_search,codex-editorial-audit,2026-09-12,sha256:4baf9eaaf8a78da543065e3deb1823187ae25a993e8544432eb0bfa86d120b02,Absolute CT ranking removed; modality choice left to veterinarian
pet-registration-guide-claim-3,blog-pet-registration-guide,"2개월령 이상 반려견, 등록 방식, 변경 신고, 법정 과태료 상한",legal,pet-registration-guide-source-3,"반려동물을 가족으로 맞이하기 위한 첫걸음, 동물등록하세요!",농림축산식품부,https://www.mafra.go.kr/bbs/home/792/596971/download.do,2026-04-29,2026-09-12,2026-04-29,"2개월령 이상 반려견, 등록 방식, 변경 신고, 법정 과태료 상한",본문 1쪽,SUPPORTED,official_pdf_read,codex-editorial-audit,2026-09-12,sha256:3a732c4dae082a4137fa31b04922dc10948bc06c6f1b5030493d5e2c27fc9416,현행 안내에 맞춰 2개 등록 방식과 변경 신고 경로로 수정
pet-registration-guide-claim-4,blog-pet-registration-guide,미등록 1·2·3차 이상 및 변경 신고 위반 과태료 기준,legal,pet-registration-guide-source-4,동물보호법 시행령 별표 4,국가법령정보센터,https://www.law.go.kr/LSW/flDownload.do?bylClsCd=110201&flSeq=151937599&gubun=,2024-04-26,2026-09-12,2024-04-26,미등록 1·2·3차 이상 및 변경 신고 위반 과태료 기준,별표 4 라목·마목,SUPPORTED,official_pdf_read,codex-editorial-audit,2026-09-12,sha256:3a732c4dae082a4137fa31b04922dc10948bc06c6f1b5030493d5e2c27fc9416,법 제15조와 미등록·변경 신고 과태료를 구분해 반영
insurance-compare-claim-5,route-insurance-compare,"상품명, 판매 채널, 가입 연령과 가입 제한",insurance,insurance-compare-source-5,굿앤굿우리펫보험,현대해상,https://platform.hi.co.kr/service.do?m=78ee531539&petType=D,,2026-09-12,current-at-access,"상품명, 판매 채널, 가입 연령과 가입 제한",공식 상품 페이지,SUPPORTED,official_page_read,codex-editorial-audit,2026-09-12,route-source,기존 하이펫·점유율 1위·추천 표현 제거
insurance-compare-claim-6,route-insurance-compare,반려동물·판매 채널별 상품 구분,insurance,insurance-compare-source-6,보험상품 공시,DB손해보험,https://www.idbins.com/pc/bizxpress/pb/ppb/app/FWMAIV1544.shtm,,2026-09-12,current-at-access,반려동물·판매 채널별 상품 구분,상품 공시,PARTIAL,official_page_read,codex-editorial-audit,2026-09-12,route-source,채널별 상세 조건은 가입 시점 공시에서 재확인 필요
insurance-compare-claim-7,route-insurance-compare,KB 금쪽같은 펫보험 상품군,insurance,insurance-compare-source-7,상품공시,KB손해보험,https://www.kbinsure.co.kr/CG803000012.ec,,2026-09-12,current-at-access,KB 금쪽같은 펫보험 상품군,상품 공시,PARTIAL,official_page_read,codex-editorial-audit,2026-09-12,route-source,채널·계약 유형·인수 조건에 따라 달라짐
insurance-compare-claim-8,route-insurance-compare,상품명과 상품별 계약 조건,insurance,insurance-compare-source-8,애니펫,삼성화재,https://www.samsungfire.com/product/P_P02_09_01_124.html,,2026-09-12,current-at-access,상품명과 상품별 계약 조건,공식 상품 페이지,PARTIAL,official_page_read,codex-editorial-audit,2026-09-12,route-source,기존 최고 보장·상황별 추천 표현 제거
insurance-compare-claim-9,route-insurance-compare,현재 판매 상품·조건,insurance,insurance-compare-source-9,한화손해보험 펫보험,한화손해보험,,,2026-09-12,current-at-access,현재 판매 상품·조건,공식 판매 페이지 미확인,UNVERIFIED,official_site_search,codex-editorial-audit,2026-09-12,route-source,기존 레저펫 상품·배상책임·추천 정보를 노출하지 않음
insurance-compare-claim-10,route-insurance-compare,상품명과 다이렉트 채널 조건,insurance,insurance-compare-source-10,펫퍼민트,메리츠화재,https://store.meritzfire.com/pet/product.do,,2026-09-12,current-at-access,상품명과 다이렉트 채널 조건,공식 상품 페이지,PARTIAL,official_page_read,codex-editorial-audit,2026-09-12,route-source,기존 퍼피라이프·고령 특화 추천 표현 제거
