content_id,url,type,title,category,status,published_at,updated_at,content_hash,source_count,review_state,primary_intent,gsc_clicks,gsc_impressions,gsc_window,gsc_available,proposed_action,reason,evidence,approval_needed
blog-366,/blog/adult-cat-adoption-guide,blog,성묘 입양의 모든 것 — 새끼 고양이보다 쉬운 이유,1,published,2026-07-17T09:00:00.000Z,,sha256:c44f2e234dda3f2ffdb4a76b9bb5a2628da028d400293b5412c17acf3d344cec,3,UNVERIFIED,not_semantically_classified,,,,false,NEEDS_HUMAN_REVIEW,Repository seed inventory only; body value and source support require separate review,db/seeds/blog-posts-49.ts,true
blog-606,/blog/adult-dog-socialization-guide,blog,"성견 사회화 — 어릴 때 놓친 것, 성견이 되어서도 가능한가",1,published,2026-11-14T09:00:00.000Z,,sha256:e037c73b2c97df333da22bb418b68fa2291bd3187cf83faaeb18c2703d20cc1e,2,UNVERIFIED,not_semantically_classified,,,,false,NEEDS_HUMAN_REVIEW,Repository seed inventory only; body value and source support require separate review,db/seeds/blog-posts-97.ts,true
blog-254,/blog/animal-abuse-neglect-report-guide,blog,반려동물 학대·방치 신고 절차 — 목격했을 때 어떻게 해야 하나,4,published,2026-06-03T12:00:00.000Z,,sha256:0d5e3758df6141ec313d5b82990c64313206714d3b6578ba295bdca66818ac03,3,UNVERIFIED,not_semantically_classified,,,,false,NEEDS_HUMAN_REVIEW,Repository seed inventory only; body value and source support require separate review,db/seeds/blog-posts-27.ts,true
blog-478,/blog/animal-abuse-reporting-guide,blog,"동물학대 신고 — 어떻게, 어디에 신고해야 하나",4,published,2026-09-11T09:00:00.000Z,,sha256:10c73a96652ef871428513f2fd371a420d74a913a2f09229dbc6262d621296b9,2,UNVERIFIED,not_semantically_classified,,,,false,NEEDS_HUMAN_REVIEW,Repository seed inventory only; body value and source support require separate review,db/seeds/blog-posts-71.ts,true
blog-325,/blog/animal-cruelty-reporting-guide,blog,동물 학대를 목격했을 때 — 신고 절차와 보호자가 알아야 할 법적 권리,4,published,2026-06-26T11:00:00.000Z,,sha256:b2a870d8931cd6c204992a0c8a1a031c4f2decfdb42095540855d925ae21b50c,3,UNVERIFIED,not_semantically_classified,,,,false,NEEDS_HUMAN_REVIEW,Repository seed inventory only; body value and source support require separate review,db/seeds/blog-posts-40.ts,true
seed-guide-animal-hospital-guide,/guide/animal-hospital-guide,guide,동물병원 선택 가이드 — 믿을 수 있는 병원 고르는 기준,3,published,2026-05-22T00:00:00.000Z,,sha256:45bebf6736057f798c96b6480b89ad03aaadcaa2e0991b51b5814998e6d17280,3,UNVERIFIED,not_semantically_classified,,,,false,NEEDS_HUMAN_REVIEW,Repository seed inventory only; body value and source support require separate review,db/seeds/contents.ts,true
seed-guide-animal-protection-law,/guide/animal-protection-law-basics,guide,동물보호법 기초 — 반려인이 꼭 알아야 할 법률 상식,4,published,2026-05-22T00:00:00.000Z,,sha256:d4b9ba07d32e8a5242a9e2623281b61d717add1329b5cb24f2b7a4a2ed75d0a3,3,UNVERIFIED,not_semantically_classified,,,,false,NEEDS_HUMAN_REVIEW,Repository seed inventory only; body value and source support require separate review,db/seeds/contents.ts,true
blog-animal-protection-law-guide,/blog/animal-protection-law-guide,blog,2024년 동물보호법 핵심 정리 — 보호자가 알아야 할 의무와 권리,4,published,,,sha256:7f324d377e625f27d916fb5b324f1381a25995c2c428304195b1fdab1be2e1e2,3,UNVERIFIED,not_semantically_classified,,,,false,NEEDS_HUMAN_REVIEW,Repository seed inventory only; body value and source support require separate review,db/seeds/blog-posts-9.ts,true
blog-244,/blog/animal-registration-change-cancel-guide,blog,동물등록 변경·말소 신청 방법 — 이사·분양·사망 시 어떻게 하나,1,published,2026-06-02T12:00:00.000Z,,sha256:96cb285839db3b15ebf45f86f19540cba4a1680eac018fbf22305cc1ff66dcb1,3,UNVERIFIED,not_semantically_classified,,,,false,NEEDS_HUMAN_REVIEW,Repository seed inventory only; body value and source support require separate review,db/seeds/blog-posts-25.ts,true
blog-495,/blog/animal-registration-chip-guide,blog,동물등록·마이크로칩 완전 가이드 — 신청부터 조회까지,4,published,2026-09-19T11:00:00.000Z,,sha256:1b7e11006478ea8bea1d3070e881a8bdd98a86586387dcd8a7f555f8c93b40e9,2,UNVERIFIED,not_semantically_classified,,,,false,NEEDS_HUMAN_REVIEW,Repository seed inventory only; body value and source support require separate review,db/seeds/blog-posts-74.ts,true
