cluster_id,topic,urls,classification,reason,evidence_status,recommended_action,approval_required
URL-001,duplicate public URL,blog-399:/blog/cat-asthma-bronchitis-guide;blog-488:/blog/cat-asthma-bronchitis-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-002,duplicate public URL,blog-337:/blog/cat-hyperthyroidism-guide;blog-cat-hyperthyroidism-guide:/blog/cat-hyperthyroidism-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-003,duplicate public URL,blog-421:/blog/cat-inflammatory-bowel-disease;blog-558:/blog/cat-inflammatory-bowel-disease,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-004,duplicate public URL,blog-334:/blog/cat-kidney-disease-early-signs;blog-cat-kidney-disease-early-signs:/blog/cat-kidney-disease-early-signs,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-005,duplicate public URL,blog-cat-prescription-diet-guide:/blog/cat-prescription-diet-guide;blog-517:/blog/cat-prescription-diet-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-006,duplicate public URL,blog-656:/blog/dog-addison-disease-guide;blog-591:/blog/dog-addison-disease-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-007,duplicate public URL,blog-dog-crate-training-guide:/blog/dog-crate-training-guide;blog-589:/blog/dog-crate-training-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-008,duplicate public URL,blog-706:/blog/dog-cushings-syndrome-guide;blog-394:/blog/dog-cushings-syndrome-guide;blog-476:/blog/dog-cushings-syndrome-guide,NEEDS_HUMAN_REVIEW,3 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-009,duplicate public URL,blog-dog-diabetes-management:/blog/dog-diabetes-management;blog-531:/blog/dog-diabetes-management,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-010,duplicate public URL,blog-dog-heartworm-prevention:/blog/dog-heartworm-prevention;blog-483:/blog/dog-heartworm-prevention,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-011,duplicate public URL,blog-429:/blog/dog-home-grooming-basics;blog-615:/blog/dog-home-grooming-basics,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-012,duplicate public URL,blog-dog-kennel-cough-guide:/blog/dog-kennel-cough-guide;blog-563:/blog/dog-kennel-cough-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-013,duplicate public URL,blog-701:/blog/dog-lyme-disease-tick-prevention;blog-420:/blog/dog-lyme-disease-tick-prevention,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-014,duplicate public URL,blog-427:/blog/dog-mast-cell-tumor-guide;blog-518:/blog/dog-mast-cell-tumor-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-015,duplicate public URL,blog-dog-nail-trimming-guide:/blog/dog-nail-trimming-guide;blog-540:/blog/dog-nail-trimming-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-016,duplicate public URL,blog-161:/blog/dog-paw-care-guide;blog-324:/blog/dog-paw-care-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-017,duplicate public URL,blog-327:/blog/dog-shelter-adoption-process;blog-467:/blog/dog-shelter-adoption-process,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-018,duplicate public URL,blog-pet-hospice-care-guide:/blog/pet-hospice-care-guide;blog-575:/blog/pet-hospice-care-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-019,duplicate public URL,blog-207:/blog/pet-insurance-waiting-period;blog-466:/blog/pet-insurance-waiting-period,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-020,duplicate public URL,blog-719:/blog/pet-insurance-waiting-period-guide;blog-311:/blog/pet-insurance-waiting-period-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-021,duplicate public URL,blog-pet-memorial-park-guide:/blog/pet-memorial-park-guide;blog-400:/blog/pet-memorial-park-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-022,duplicate public URL,blog-664:/blog/puppy-socialization-critical-period;blog-464:/blog/puppy-socialization-critical-period,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
URL-023,duplicate public URL,blog-senior-cat-food-guide:/blog/senior-cat-food-guide;blog-545:/blog/senior-cat-food-guide,NEEDS_HUMAN_REVIEW,2 repository records declare the same public URL; deployment precedence and unique information are not inferred,repository_static_scan,"Compare complete records and production selection behavior before merge, retirement, or redirect",true
